location,day,timeslot,age,url
Trinity Community Recreation Centre,Mon Jun 06,8 - 9:30am,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html
Trinity Community Recreation Centre,Tue Jun 07,8 - 9:30am,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html
Trinity Community Recreation Centre,Wed Jun 08,8 - 9:30am,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html
Trinity Community Recreation Centre,Thu Jun 09,8 - 9:30am,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html
Trinity Community Recreation Centre,Fri Jun 10,8 - 9:30am,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html
Trinity Community Recreation Centre,Sat Jun 11,3 - 5pm,13 - 18yrs,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html
Trinity Community Recreation Centre,Sun Jun 05,3 - 5pm,18yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html
St. Lawrence Community Recreation Centre,Thu Jun 09,6:30 - 8:45pm,18yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/272/index.html
St. Lawrence Community Recreation Centre,Sat Jun 11,11am - 2pm,18yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/272/index.html
Masaryk-Cowan Community Recreation Centre,Wed Jun 08,4:15 - 6:15pm,13 - 24yrs,https://www.toronto.ca/data/parks/prd/facilities/complex/89/index.html
Wellesley Community Centre,Fri Jun 10,5:45 - 6:30pm,13 - 24yrs,https://www.toronto.ca/data/parks/prd/facilities/complex/451/index.html
Jimmie Simpson Recreation Centre,Mon Jun 06,10:15am - 12pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/58/index.html
Jimmie Simpson Recreation Centre,Tue Jun 07,1:30 - 3:30pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/58/index.html
Jimmie Simpson Recreation Centre,Wed Jun 08,10:15am - 12pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/58/index.html
Jimmie Simpson Recreation Centre,Fri Jun 10,1:30 - 3pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/58/index.html
Matty Eckler Recreation Centre,Tue Jun 07,12:30 - 3pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/234/index.html
Matty Eckler Recreation Centre,Wed Jun 08,12:30 - 3pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/234/index.html
Matty Eckler Recreation Centre,Fri Jun 10,12:30 - 3pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/234/index.html
Matty Eckler Recreation Centre,Tue Jun 07,7 - 8:30pm,13 - 24yrs,https://www.toronto.ca/data/parks/prd/facilities/complex/234/index.html
Matty Eckler Recreation Centre,Sun Jun 05,3:15 - 5:15pm,18yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/234/index.html
Swansea Community Recreation Centre,Mon Jun 06,8 - 9:30pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/282/index.html
Swansea Community Recreation Centre,Fri Jun 10,8 - 9:30pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/282/index.html
Joseph J. Piccininni Community Centre,Mon Jun 06,7:15 - 9:30pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/509/index.html
Joseph J. Piccininni Community Centre,Wed Jun 08,7:15 - 9:30pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/509/index.html
Joseph J. Piccininni Community Centre,Fri Jun 10,7:15 - 9:30pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/509/index.html
North Toronto Memorial Community Centre,Mon Jun 06,1:30 - 3:30pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html
North Toronto Memorial Community Centre,Wed Jun 08,1:30 - 3:30pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html
North Toronto Memorial Community Centre,Fri Jun 10,1:30 - 3:30pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html
North Toronto Memorial Community Centre,Sun Jun 05,3:45 - 5pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html
North Toronto Memorial Community Centre,Tue Jun 07,7:15 - 8:15pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html
North Toronto Memorial Community Centre,Thu Jun 09,6:15 - 7:30pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html
North Toronto Memorial Community Centre,Sat Jun 11,3 - 4pm,19yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html
Ourland Community Centre,Mon Jun 06,10am - 12pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/793/index.html
Ourland Community Centre,Fri Jun 10,12:30 - 3pm,60yrs and over,https://www.toronto.ca/data/parks/prd/facilities/complex/793/index.html
